ID	geneID	p.adjust	symbols
GO_PYRIMIDINE_RIBONUCLEOSIDE_CATABOLIC_PROCESS	200315/27350/200316/60489/9583/164668	0.00254767193441209	APOBEC3A,APOBEC3C,APOBEC3F,APOBEC3G,ENTPD4,APOBEC3H
GO_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	57402/7423/4283/3627/6373/3576/6372/2919/6374/2921/6352/6348/6351/63940/6363/6366	0.00313876996443129	S100A14,VEGFB,CXCL9,CXCL10,CXCL11,IL8,CXCL6,CXCL1,CXCL5,CXCL3,CCL5,CCL3,CCL4,GPSM3,CCL19,CCL21
GO_CELLULAR_RESPONSE_TO_CYTOKINE_STIMULUS	4502/4501/5696/5698/8651/29965/3661/8764/50506/53905/55611/572/7098/8795/8794/8793/8797/7186/5708/4283/3627/6373/3122/3127/3123/10475/3576/6372/2919/6374/2921/3113/3115/51330/3117/3119/3118/3120/6352/6348/6351/1271/3590/583/2244/2243/8692/1154/6363/6366/4824/6358/6359/6362	0.00404220752035453	MT2A,MT1X,PSMB8,PSMB9,SOCS1,CDIP1,IRF3,TNFRSF14,DUOX2,DUOX1,OTUB1,BAD,TLR3,TNFRSF10B,TNFRSF10C,TNFRSF10D,TNFRSF10A,TRAF2,PSMD2,CXCL9,CXCL10,CXCL11,HLA-DRA,HLA-DRB5,HLA-DRB1,TRIM38,IL8,CXCL6,CXCL1,CXCL5,CXCL3,HLA-DPA1,HLA-DPB1,TNFRSF12A,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,CCL5,CCL3,CCL4,CNTFR,IL11RA,BBS2,FGB,FGA,HYAL2,CISH,CCL19,CCL21,NKX3-1,CCL14,CCL15,CCL18
GO_LYMPHOCYTE_COSTIMULATION	8764/857/3122/3127/3123/3113/3115/5777/3117/3119/3118/3120/6363/6366	0.00404220752035453	TNFRSF14,CAV1,HLA-DRA,HLA-DRB5,HLA-DRB1,HLA-DPA1,HLA-DPB1,PTPN6,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,CCL19,CCL21
GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	3109/8943/8764/572/283234/857/7186/3122/3127/3123/3113/3115/6504/5777/3117/3119/3118/3120/6352/10859/51744/2244/2243/2266/6363/6366/9093	0.0049497172448285	HLA-DMB,AP3D1,TNFRSF14,BAD,CCDC88B,CAV1,TRAF2,HLA-DRA,HLA-DRB5,HLA-DRB1,HLA-DPA1,HLA-DPB1,SLAMF1,PTPN6,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,CCL5,LILRB1,CD244,FGB,FGA,FGG,CCL19,CCL21,DNAJA3
GO_KERATINIZATION	81858/6699/6703/6700/3868/3872/6707/5493	0.0049497172448285	SHARPIN,SPRR1B,SPRR2D,SPRR2A,KRT16,KRT17,SPRR3,PPL
GO_POSITIVE_REGULATION_OF_CHEMOTAXIS	57402/7423/4233/4283/3627/6373/3576/6372/2919/6374/2921/6352/6348/6351/63940/6363/6366	0.0049497172448285	S100A14,VEGFB,MET,CXCL9,CXCL10,CXCL11,IL8,CXCL6,CXCL1,CXCL5,CXCL3,CCL5,CCL3,CCL4,GPSM3,CCL19,CCL21
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION	57402/8764/7423/4283/3627/6373/3576/6372/2919/6374/2921/6352/6348/6351/63940/6363/6366	0.0049497172448285	S100A14,TNFRSF14,VEGFB,CXCL9,CXCL10,CXCL11,IL8,CXCL6,CXCL1,CXCL5,CXCL3,CCL5,CCL3,CCL4,GPSM3,CCL19,CCL21
GO_PROTEIN_ACTIVATION_CASCADE	716/715/51279/2161/712/714/713/2244/2243/2266/3818/2160	0.0049497172448285	C1S,C1R,C1RL,F12,C1QA,C1QC,C1QB,FGB,FGA,FGG,KLKB1,F11
GO_SYNAPSE_ASSEMBLY	9746/57717/56127/56126/56125/56123/56122/56133/56131/26167/56130	0.00511594064385065	CLSTN3,PCDHB16,PCDHB9,PCDHB10,PCDHB11,PCDHB13,PCDHB14,PCDHB2,PCDHB4,PCDHB5,PCDHB6
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	3112/6891/5696/6890/5698/3109/3108/64837/160/3077/9371/1173/5708/3122/3127/3123/3111/3113/3115/3117/3119/3118/3120/11258	0.0057631489429854	HLA-DOB,TAP2,PSMB8,TAP1,PSMB9,HLA-DMB,HLA-DMA,KLC2,AP2A1,HFE,KIF3B,AP2M1,PSMD2,HLA-DRA,HLA-DRB5,HLA-DRB1,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,DCTN3
GO_IMMUNE_EFFECTOR_PROCESS	57823/4063/55361/716/715/51279/6284/2212/2214/3661/54512/7098/200315/9582/27350/140564/200316/60489/55324/4283/3627/3127/3123/6372/6374/118460/6504/5777/71/10383/3119/6348/712/714/713/10859/114836/51744/8692/11334/164668/84166	0.00703153552148579	SLAMF7,LY9,PI4K2A,C1S,C1R,C1RL,S100A13,FCGR2A,FCGR3A,IRF3,EXOSC4,TLR3,APOBEC3A,APOBEC3B,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G,ABCF3,CXCL9,CXCL10,HLA-DRB5,HLA-DRB1,CXCL6,CXCL5,EXOSC6,SLAMF1,PTPN6,ACTG1,TUBB4B,HLA-DQB1,CCL3,C1QA,C1QC,C1QB,LILRB1,SLAMF6,CD244,HYAL2,TUSC2,APOBEC3H,NLRC5
GO_RESPONSE_TO_ZINC_ION	4502/4493/4499/4494/4495/4501/4489/4496/6279/3861/54	0.00886215254189489	MT2A,MT1E,MT1M,MT1F,MT1G,MT1X,MT1A,MT1H,S100A8,KRT14,ACP5
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	9746/57463/57717/56127/56126/56125/56124/56123/56122/56121/90952/56133/56131/26167/56130/56129/8832	0.00886215254189489	CLSTN3,AMIGO1,PCDHB16,PCDHB9,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB15,ESAM,PCDHB2,PCDHB4,PCDHB5,PCDHB6,PCDHB7,CD84
GO_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	716/715/51279/3127/3123/3119/712/714/713	0.00886215254189489	C1S,C1R,C1RL,HLA-DRB5,HLA-DRB1,HLA-DQB1,C1QA,C1QC,C1QB
GO_CELLULAR_RESPONSE_TO_INTERLEUKIN_1	5698/55611/3576/6352/6348/6351/2244/8692/6363/6366/4824/6358/6359/6362	0.010749666324333	PSMB9,OTUB1,IL8,CCL5,CCL3,CCL4,FGB,HYAL2,CCL19,CCL21,NKX3-1,CCL14,CCL15,CCL18
GO_LYMPHOCYTE_CHEMOTAXIS	3627/6373/6352/6348/6363/6366/6358/6359/6362	0.0107984079204825	CXCL10,CXCL11,CCL5,CCL3,CCL19,CCL21,CCL14,CCL15,CCL18
GO_LEUKOCYTE_MEDIATED_IMMUNITY	57823/55361/716/715/51279/6284/3127/3123/6372/6374/118460/6504/5777/10383/3119/6348/712/714/713/11334	0.0114853863225932	SLAMF7,PI4K2A,C1S,C1R,C1RL,S100A13,HLA-DRB5,HLA-DRB1,CXCL6,CXCL5,EXOSC6,SLAMF1,PTPN6,TUBB4B,HLA-DQB1,CCL3,C1QA,C1QC,C1QB,TUSC2
GO_REGULATION_OF_SYMBIOSIS_ENCOMPASSING_MUTUALISM_THROUGH_PARASITISM	27074/6891/6890/572/858/857/200315/27350/140564/200316/60489/79139/84875/10475/3576/7469/25920/6352/6348/6351/128866/5034/164668/5437/7023	0.0116606800703759	LAMP3,TAP2,TAP1,BAD,CAV2,CAV1,APOBEC3A,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G,DERL1,PARP10,TRIM38,IL8,NELFA,NELFB,CCL5,CCL3,CCL4,CHMP4B,P4HB,APOBEC3H,POLR2H,TFAP4
GO_ADAPTIVE_IMMUNE_RESPONSE	27074/6891/6890/57823/4063/716/715/51279/55611/3127/3123/118460/6504/3119/712/714/713/11027/10859/11006/114836/8832/51744/2244/2243/11024	0.0116606800703759	LAMP3,TAP2,TAP1,SLAMF7,LY9,C1S,C1R,C1RL,OTUB1,HLA-DRB5,HLA-DRB1,EXOSC6,SLAMF1,HLA-DQB1,C1QA,C1QC,C1QB,LILRA2,LILRB1,LILRB4,SLAMF6,CD84,CD244,FGB,FGA,LILRA1
GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION	3112/6891/6890/3077/3111/6363/6366	0.0124395485810949	HLA-DOB,TAP2,TAP1,HFE,HLA-DOA,CCL19,CCL21
GO_ANTIGEN_PROCESSING_AND_PRESENTATION	3112/6891/5696/6890/5698/3109/3108/8943/64837/160/3077/9371/1173/5708/3122/3127/3123/3111/3113/3115/3117/3119/3118/3120/11258	0.0213404410475256	HLA-DOB,TAP2,PSMB8,TAP1,PSMB9,HLA-DMB,HLA-DMA,AP3D1,KLC2,AP2A1,HFE,KIF3B,AP2M1,PSMD2,HLA-DRA,HLA-DRB5,HLA-DRB1,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,DCTN3
GO_PYRIMIDINE_NUCLEOSIDE_CATABOLIC_PROCESS	200315/27350/200316/60489/9583/164668	0.0234564642777184	APOBEC3A,APOBEC3C,APOBEC3F,APOBEC3G,ENTPD4,APOBEC3H
GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	7289/3236/3235/3232/3233/8312/80199/29985/3198/3200/3202/3204/3199	0.0234564642777184	TULP3,HOXD10,HOXD9,HOXD3,HOXD4,AXIN1,FUZ,SLC39A3,HOXA1,HOXA3,HOXA5,HOXA7,HOXA2
GO_RESPONSE_TO_TRANSITION_METAL_NANOPARTICLE	4502/4493/4499/4494/4495/4501/898/6284/3077/6652/4489/4496/572/6279/3861/513/712/4017/54	0.0242252837024123	MT2A,MT1E,MT1M,MT1F,MT1G,MT1X,CCNE1,S100A13,HFE,SORD,MT1A,MT1H,BAD,S100A8,KRT14,ATP5D,C1QA,LOXL2,ACP5
GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	3112/6891/6890/3077/3111	0.0253461614726575	HLA-DOB,TAP2,TAP1,HFE,HLA-DOA
GO_RESPONSE_TO_INTERLEUKIN_1	5698/55611/3576/166/6352/6348/6351/2244/8692/6363/6366/4824/6358/6359/6362	0.0268887543320842	PSMB9,OTUB1,IL8,AES,CCL5,CCL3,CCL4,FGB,HYAL2,CCL19,CCL21,NKX3-1,CCL14,CCL15,CCL18
GO_RIBONUCLEOSIDE_CATABOLIC_PROCESS	200315/27350/200316/60489/22875/9583/164668	0.0271955006160359	APOBEC3A,APOBEC3C,APOBEC3F,APOBEC3G,ENPP4,ENTPD4,APOBEC3H
GO_REGULATION_OF_LEUKOCYTE_MIGRATION	57402/8764/7423/4283/3627/6373/3576/6372/2919/6374/2921/6352/6348/6351/3204/63940/6363/6366	0.0271955006160359	S100A14,TNFRSF14,VEGFB,CXCL9,CXCL10,CXCL11,IL8,CXCL6,CXCL1,CXCL5,CXCL3,CCL5,CCL3,CCL4,HOXA7,GPSM3,CCL19,CCL21
GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	4502/3661/3122/3127/3123/10475/3113/3115/3117/3119/3118/3120	0.0357232535377454	MT2A,IRF3,HLA-DRA,HLA-DRB5,HLA-DRB1,TRIM38,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2
GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	9688/7004/57402/3661/8764/8347/8344/8351/8353/54512/1351/6280/6279/7098/94107/200315/9582/27350/140564/200316/60489/55324/4283/3627/8339/6372/2215/10859/2244/2243/8692/11334/94059/54/164668/727897/84166	0.0372317259913748	NUP93,TEAD4,S100A14,IRF3,TNFRSF14,HIST1H2BC,HIST1H2BE,HIST1H3D,HIST1H3E,EXOSC4,COX8A,S100A9,S100A8,TLR3,TMEM203,APOBEC3A,APOBEC3B,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G,ABCF3,CXCL9,CXCL10,HIST1H2BG,CXCL6,FCGR3B,LILRB1,FGB,FGA,HYAL2,TUSC2,LENG9,ACP5,APOBEC3H,MUC5B,NLRC5
GO_FIBRINOLYSIS	2161/5055/2244/2243/2266/3818	0.0384798097816418	F12,SERPINB2,FGB,FGA,FGG,KLKB1
GO_INFLAMMATORY_RESPONSE	54472/8764/2161/3077/25824/6280/6279/7098/8795/8794/8793/8797/79792/4283/3627/6373/3127/3123/6542/3868/3576/6372/2919/6374/2921/146433/6352/6348/6351/2243/3818/9240/11334/6363/6366/6358/6359/6362	0.0413788183708676	TOLLIP,TNFRSF14,F12,HFE,PRDX5,S100A9,S100A8,TLR3,TNFRSF10B,TNFRSF10C,TNFRSF10D,TNFRSF10A,GSDMD,CXCL9,CXCL10,CXCL11,HLA-DRB5,HLA-DRB1,SLC7A2,KRT16,IL8,CXCL6,CXCL1,CXCL5,CXCL3,IL34,CCL5,CCL3,CCL4,FGA,KLKB1,PNMA1,TUSC2,CCL19,CCL21,CCL14,CCL15,CCL18
GO_MONOCYTE_CHEMOTAXIS	6352/6348/6351/6363/6366/6358/6359/6362	0.0486938989945497	CCL5,CCL3,CCL4,CCL19,CCL21,CCL14,CCL15,CCL18
GO_EMBRYONIC_SKELETAL_SYSTEM_DEVELOPMENT	7289/3236/3235/3232/3233/3231/8312/80199/29985/3198/3200/3202/3204/3199	0.0486938989945497	TULP3,HOXD10,HOXD9,HOXD3,HOXD4,HOXD1,AXIN1,FUZ,SLC39A3,HOXA1,HOXA3,HOXA5,HOXA7,HOXA2
GO_BLOOD_COAGULATION_FIBRIN_CLOT_FORMATION	2161/2244/2243/2266/3818/2160	0.0486938989945497	F12,FGB,FGA,FGG,KLKB1,F11
GO_REGULATION_OF_MULTI_ORGANISM_PROCESS	9688/27074/6891/6890/7004/160/8351/8353/1351/572/858/857/94107/200315/27350/140564/200316/60489/79139/84875/1173/10475/3576/55690/7469/25920/5518/2215/6352/6348/6351/10859/8912/128866/5495/94059/5034/164668/5437/7023	0.0497921356226851	NUP93,LAMP3,TAP2,TAP1,TEAD4,AP2A1,HIST1H3D,HIST1H3E,COX8A,BAD,CAV2,CAV1,TMEM203,APOBEC3A,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G,DERL1,PARP10,AP2M1,TRIM38,IL8,PACS1,NELFA,NELFB,PPP2R1A,FCGR3B,CCL5,CCL3,CCL4,LILRB1,CACNA1H,CHMP4B,PPM1B,LENG9,P4HB,APOBEC3H,POLR2H,TFAP4
