ID	geneID	p.adjust	symbols
GO_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	4502/5696/5698/3055/3122/3127/3123/4283/3627/6373/29965/3661/8764/50506/53905/572/8795/8794/8793/8797/7186/5708/3117/3119/3118/3120/3113/3115/51330/6352/6348/6351/1271/3590/583/1154/6363/6366/6358/6359/6362	0.0283901275943108	MT2A,PSMB8,PSMB9,HCK,HLA-DRA,HLA-DRB5,HLA-DRB1,CXCL9,CXCL10,CXCL11,CDIP1,IRF3,TNFRSF14,DUOX2,DUOX1,BAD,TNFRSF10B,TNFRSF10C,TNFRSF10D,TNFRSF10A,TRAF2,PSMD2,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DPA1,HLA-DPB1,TNFRSF12A,CCL5,CCL3,CCL4,CNTFR,IL11RA,BBS2,CISH,CCL19,CCL21,CCL14,CCL15,CCL18
GO_PYRIMIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	4329/27350/200316/60489/164668/200315/9583/56953	0.0284213909524122	ALDH6A1,APOBEC3C,APOBEC3F,APOBEC3G,APOBEC3H,APOBEC3A,ENTPD4,NT5M
GO_SYNAPSE_ASSEMBLY	57717/56127/56126/56125/56123/56122/56133/56131/26167/56130	0.0315622712797808	PCDHB16,PCDHB9,PCDHB10,PCDHB11,PCDHB13,PCDHB14,PCDHB2,PCDHB4,PCDHB5,PCDHB6
GO_ANTIGEN_PROCESSING_AND_PRESENTATION	3112/6891/5696/6890/5698/3109/3108/8943/9371/3122/3127/3123/160/3077/1173/5708/3117/3119/3118/3120/3111/3113/3115/11258/1509	0.0383075261866617	HLA-DOB,TAP2,PSMB8,TAP1,PSMB9,HLA-DMB,HLA-DMA,AP3D1,KIF3B,HLA-DRA,HLA-DRB5,HLA-DRB1,AP2A1,HFE,AP2M1,PSMD2,HLA-DQA1,HLA-DQB1,HLA-DQA2,HLA-DQB2,HLA-DOA,HLA-DPA1,HLA-DPB1,DCTN3,CTSD
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	57463/57717/56127/56126/56125/56124/56123/56122/56121/90952/56133/56131/26167/56130/56129/8832	0.0383075261866617	AMIGO1,PCDHB16,PCDHB9,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,PCDHB15,ESAM,PCDHB2,PCDHB4,PCDHB5,PCDHB6,PCDHB7,CD84
GO_EMBRYONIC_SKELETAL_SYSTEM_MORPHOGENESIS	7289/3236/3235/3232/3233/8312/80199/29985/3198/3200/3202/3204/3199	0.0383075261866617	TULP3,HOXD10,HOXD9,HOXD3,HOXD4,AXIN1,FUZ,SLC39A3,HOXA1,HOXA3,HOXA5,HOXA7,HOXA2
GO_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	9688/7004/10859/57402/7098/4283/3627/3661/8764/8347/8344/8351/8353/27350/140564/200316/60489/1351/6280/6279/94107/55324/64581/283/164668/2215/6037/2244/2243/8692/11334/8339/54512/94059/200315/9582/727897/84166	0.0383075261866617	NUP93,TEAD4,LILRB1,S100A14,TLR3,CXCL9,CXCL10,IRF3,TNFRSF14,HIST1H2BC,HIST1H2BE,HIST1H3D,HIST1H3E,APOBEC3C,APOBEC3D,APOBEC3F,APOBEC3G,COX8A,S100A9,S100A8,TMEM203,ABCF3,CLEC7A,ANG,APOBEC3H,FCGR3B,RNASE3,FGB,FGA,HYAL2,TUSC2,HIST1H2BG,EXOSC4,LENG9,APOBEC3A,APOBEC3B,MUC5B,NLRC5
GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	3112/6891/6890/3077/3111	0.0383075261866617	HLA-DOB,TAP2,TAP1,HFE,HLA-DOA
GO_RESPONSE_TO_TRANSITION_METAL_NANOPARTICLE	4502/4493/4499/4494/4495/4501/898/6284/712/3077/6652/4489/4496/572/6279/3861/26/513/4017	0.0383075261866617	MT2A,MT1E,MT1M,MT1F,MT1G,MT1X,CCNE1,S100A13,C1QA,HFE,SORD,MT1A,MT1H,BAD,S100A8,KRT14,AOC1,ATP5D,LOXL2
GO_RESPONSE_TO_ZINC_ION	4502/4493/4499/4494/4495/4501/4489/4496/6279/3861	0.0406544134278296	MT2A,MT1E,MT1M,MT1F,MT1G,MT1X,MT1A,MT1H,S100A8,KRT14
GO_RIBONUCLEOSIDE_CATABOLIC_PROCESS	27350/200316/60489/22875/164668/200315/9583	0.0406544134278296	APOBEC3C,APOBEC3F,APOBEC3G,ENPP4,APOBEC3H,APOBEC3A,ENTPD4
GO_CELLULAR_RESPONSE_TO_INTERLEUKIN_1	5698/55611/6352/6348/6351/2244/8692/6363/6366/4824/6358/6359/6362	0.0419064194044665	PSMB9,OTUB1,CCL5,CCL3,CCL4,FGB,HYAL2,CCL19,CCL21,NKX3-1,CCL14,CCL15,CCL18
